age_months,age_years,word,sentiment
29.854822480954432,2.4879018734128695,good,anticipation
29.854822480954432,2.4879018734128695,good,joy
29.854822480954432,2.4879018734128695,good,positive
29.854822480954432,2.4879018734128695,good,surprise
29.854822480954432,2.4879018734128695,good,trust
29.526273640115814,2.4605228033429847,eat,positive
29.32914433561264,2.4440953613010534,eat,positive
29.854822480954432,2.4879018734128695,mother,anticipation
29.854822480954432,2.4879018734128695,mother,joy
29.854822480954432,2.4879018734128695,mother,negative
29.854822480954432,2.4879018734128695,mother,positive
29.854822480954432,2.4879018734128695,mother,sadness
29.854822480954432,2.4879018734128695,mother,trust
29.526273640115814,2.4605228033429847,hot,anger
29.526273640115814,2.4605228033429847,hot,anger
